Restaurants,,,,,,,,,,
Gonzo's Bar and Grill,15423 SE 272nd St,Kent,WA,98042,(253) 638-2337,"Pub Food,American,Grill",2,1.5,"Mon-Wed 12:00 PM-11:59 PM; Thu-Sat 12:00 AM-2:00 AM, 12:00 PM-11:59 PM; Sun 12:00 AM-2:00 AM, 11:00 AM-11:59 PM","http://www.gonzosbarandgrill.com/
"
Dilettante Chocolates,514 Ramsay Way,Kent,WA,98032,(253) 852-3555,"Cafe,Coffee,Ice Cream,Tea",1,3.5,Mon-Thu 6:30 AM-9:00 PM; Fri 6:30 AM-10:00 PM; Sat 8:00 AM-10:00 PM; Sun 9:00 AM-9:00 PM,"http://www.dilettante.com
"
Shindig Martini Bar,222 1st Ave S,Kent,WA,98032,(253) 520-4705,Halal,2,3.5,"Mon-Thu 3:30 PM-11:00 PM; Fri 3:30 PM-11:59 PM; Sat 12:00 AM-2:00 AM, 5:00 PM-11:59 PM; Sun 12:00 AM-2:00 AM","http://www.shindigmartinibar.com
"
Giovanni's Gourmet Pizza,24618 36th Ave S,Kent,WA,98032,(206) 933-5664,"Pizza,Italian,Subs,Healthy",2,3.5,"Open Daily 12:00 AM-3:00 AM, 11:00 AM-11:59 PM","http://www.giovannipizza.net/
"
Shari's Restaurant,12990 SE Kent Kangley Rd,Kent,WA,98030,(253) 631-2456,"American,Traditional,Salad,Sandwiches,Soup",1,3.5,Open Daily 12:00 AM-11:59 PM,"http://www.sharis.com
"
Fortune Seafood Restaurant,23801 104th Ave SE,Kent,WA,98031,(253) 852-7360,"Seafood,Chinese,Asian,Cafe",1,3.5,Mon-Thu 11:00 AM-10:00 PM; Fri-Sat 11:00 AM-11:00 PM; Sun 11:00 AM-10:00 PM,"http://fortuneseafood.com/
"
Cutters Point Coffee,25246 Pacific Hwy S,Kent,WA,98032,(253) 941-2174,"Coffee,Cafe,Tea",1,4.5,Mon-Fri 5:00 AM-8:00 PM; Sat 6:00 AM-8:00 PM; Sun 7:00 AM-7:00 PM,"http://www.cutterspoint.com
"
Applebee's,25442 104th Ave SE,Kent,WA,98030,(253) 520-3888,"Grill,American,Burgers,Pub Food,Cafe",2,4,"Mon-Fri 11:00 AM-11:59 PM; Sat-Sun 12:00 AM-1:00 AM, 10:00 AM-11:59 PM","http://www.applebees.com
"
Rich's 5 Star Pizza,13121 SE Kent Kangley Rd,Kent,WA,98030,(253) 639-7827,Pizza,2,4.5,Mon-Thu 10:00 AM-10:00 PM; Fri-Sat 10:00 AM-11:59 PM; Sun 10:00 AM-10:00 PM,"http://www.richs5starpizza.com
"
Sweet Themes Bakery,317 W Meeker St,Kent,WA,98032,(253) 981-4999,Bakery,1,4,Mon-Fri 9:00 AM-5:00 PM; Sat 9:00 AM-2:00 PM; Sun 10:00 AM-4:00 PM,"http://www.sweetthemesbakery.com/
"
